Abandoned Campground | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {W} or {U}.
Sundown Pass | [] | This land enters tapped unless you control two or more other lands. {T}: Add {R} or {W}.
Sungrass Prairie | [] | {1}, {T}: Add {G}{W}.
Sunhome, Fortress of the Legion | [] | {T}: Add {C}. {2}{R}{W}, {T}: Target creature gains double strike until end of turn.
Sunken Citadel | ['Cave'] | This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color. {T}: Add two mana of the chosen color. Spend this mana only to activate abilities of land sources.
Sunken Hollow | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped unless you control two or more basic lands.
Sunken Palace | ['Cave'] | This land enters tapped. {T}: Add {U}. {1}{U}, {T}, Exile seven cards from your graveyard: Add {U}. When you spend this mana to cast a spell or activate an ability, copy that spell or ability. You may choose new targets for the copy. (Mana abilities can't be copied.)
Sunken Ruins | [] | {T}: Add {C}. {U/B}, {T}: Add {U}{U}, {U}{B}, or {B}{B}.
Sunlit Marsh | ['Plains', 'Swamp'] | ({T}: Add {W} or {B}.) This land enters tapped.
Sunpetal Grove | [] | This land enters tapped unless you control a Forest or a Plains. {T}: Add {G} or {W}.
Sunscorched Desert | ['Desert'] | When this land enters, it deals 1 damage to target player or planeswalker. {T}: Add {C}.
Sunscorched Divide | [] | {1}, {T}: Add {R}{W}.
Surtland Frostpyre | [] | This land enters tapped. {T}: Add {R}. {2}{U}{U}{R}, {T}, Sacrifice this land: Scry 2. This land deals 2 damage to each creature. Activate only as a sorcery.
Survivors' Encampment | ['Desert'] | {T}: Add {C}. {T}, Tap an untapped creature you control: Add one mana of any color.
Svogthos, the Restless Tomb | [] | {T}: Add {C}. {3}{B}{G}: Until end of turn, this land becomes a black and green Plant Zombie creature with "This creature's power and toughness are each equal to the number of creature cards in your graveyard." It's still a land.
Svyelunite Temple | [] | This land enters tapped. {T}: Add {U}. {T}, Sacrifice this land: Add {U}{U}.
Swamp | ['Swamp'] | ({T}: Add {B}.)
Swarmyard | [] | {T}: Add {C}. {T}: Regenerate target Insect, Rat, Spider, or Squirrel. (The next time it would be destroyed this turn, instead tap it, remove it from combat, and heal all damage on it.)
Swiftwater Cliffs | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {U} or {R}.
Taiga | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.)
Tainted Field | [] | {T}: Add {C}. {T}: Add {W} or {B}. Activate only if you control a Swamp.
Tainted Isle | [] | {T}: Add {C}. {T}: Add {U} or {B}. Activate only if you control a Swamp.
Tainted Peak | [] | {T}: Add {C}. {T}: Add {B} or {R}. Activate only if you control a Swamp.
Tainted Wood | [] | {T}: Add {C}. {T}: Add {B} or {G}. Activate only if you control a Swamp.
Takenuma, Abandoned Mire | [] | {T}: Add {B}. Channel — {3}{B}, Discard this card: Mill three cards, then return a creature or planeswalker card from your graveyard to your hand. This ability costs {1} less to activate for each legendary creature you control.
Talon Gates of Madara | ['Gate'] | When this land enters, up to one target creature phases out. {T}: Add {C}. {1}, {T}: Add one mana of any color. {4}: Put this card from your hand onto the battlefield.
Tangled Islet | ['Forest', 'Island'] | ({T}: Add {G} or {U}.) This land enters tapped.
Tanglepool Bridge | [] | This land enters tapped. Indestructible {T}: Add {G} or {U}.
Tarnation Vista | [] | This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color. {1}, {T}: For each color among monocolored permanents you control, add one mana of that color.
Tarnished Citadel | [] | {T}: Add {C}. {T}: Add one mana of any color. This land deals 3 damage to you.
Tectonic Edge | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Destroy target nonbasic land. Activate only if an opponent controls four or more lands.
Teetering Peaks | [] | This land enters tapped. When this land enters, target creature gets +2/+0 until end of turn. {T}: Add {R}.
Teferi's Isle | [] | Phasing (This phases in or out before you untap during each of your untap steps. While it's phased out, it's treated as though it doesn't exist.) Teferi's Isle enters tapped. {T}: Add {U}{U}.
Temple Garden | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Temple of Abandon | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {R} or {G}.
Temple of Deceit | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {U} or {B}.
Temple of Enlightenment | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {W} or {U}.
Temple of Epiphany | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {U} or {R}.
Temple of Malady | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {B} or {G}.
Temple of Malice | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {B} or {R}.
Temple of Mystery | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {G} or {U}.
Temple of Plenty | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {G} or {W}.
Temple of Silence | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {W} or {B}.
Temple of the Dragon Queen | [] | As this land enters, you may reveal a Dragon card from your hand. This land enters tapped unless you revealed a Dragon card this way or you control a Dragon. As this land enters, choose a color. {T}: Add one mana of the chosen color.
Temple of the False God | [] | {T}: Add {C}{C}. Activate only if you control five or more lands.
Temple of Triumph | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {R} or {W}.
Tendo Ice Bridge | [] | This land enters with a charge counter on it. {T}: Add {C}. {T}, Remove a charge counter from this land: Add one mana of any color.
Terminal Moraine | [] | {T}: Add {C}. {2}, {T}, Sacrifice this land: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
Terrain Generator | [] | {T}: Add {C}. {2}, {T}: You may put a basic land card from your hand onto the battlefield tapped.
Terramorphic Expanse | [] | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Thalakos Lowlands | [] | {T}: Add {C}. {T}: Add {W} or {U}. This land doesn't untap during your next untap step.
Thawing Glaciers | [] | This land enters tapped. {1}, {T}: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. Return this land to its owner's hand at the beginning of the next cleanup step.
The Autonomous Furnace | ['Sphere'] | This land enters tapped. {T}: Add {R}. {1}{R}, {T}, Sacrifice this land: Draw a card.
The Biblioplex | [] | {T}: Add {C}. {2}, {T}: Look at the top card of your library. If it's an instant or sorcery card, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard. Activate only if you have exactly zero or seven cards in hand.
The Big Top | [] | {T}: Add one mana of any color that appears on your top. (A top is an outerwear garment worn on the upper body.)
The Black Gate | ['Gate'] | As The Black Gate enters, you may pay 3 life. If you don't, it enters tapped. {T}: Add {B}. {1}{B}, {T}: Choose a player with the most life or tied for most life. Target creature can't be blocked by creatures that player controls this turn.
The Dross Pits | ['Sphere'] | This land enters tapped. {T}: Add {B}. {1}{B}, {T}, Sacrifice this land: Draw a card.
The Fair Basilica | ['Sphere'] | This land enters tapped. {T}: Add {W}. {1}{W}, {T}, Sacrifice this land: Draw a card.
The Gold Saucer | ['Town'] | {T}: Add {C}. {2}, {T}: Flip a coin. If you win the flip, create a Treasure token. {3}, {T}, Sacrifice two artifacts: Draw a card.
The Grey Havens | [] | When The Grey Havens enters, scry 1. {T}: Add {C}. {T}: Add one mana of any color among legendary creature cards in your graveyard.
The Hunter Maze | ['Sphere'] | This land enters tapped. {T}: Add {G}. {1}{G}, {T}, Sacrifice this land: Draw a card.
The Monumental Facade | ['Sphere'] | This land enters with two oil counters on it. {T}: Add {C}. {T}, Remove an oil counter from this land: Put an oil counter on target artifact or creature you control. Activate only as a sorcery.
The Mycosynth Gardens | ['Sphere'] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {X}, {T}: This land becomes a copy of target nontoken artifact you control with mana value X.
The Seedcore | ['Sphere'] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast Phyrexian creature spells. Corrupted — {T}: Target 1/1 creature gets +2/+1 until end of turn. Activate only if an opponent has three or more poison counters.
The Shire | [] | The Shire enters tapped unless you control a legendary creature. {T}: Add {G}. {1}{G}, {T}, Tap an untapped creature you control: Create a Food token.
Thespian's Stage | [] | {T}: Add {C}. {2}, {T}: This land becomes a copy of target land, except it has this ability.
The Surgical Bay | ['Sphere'] | This land enters tapped. {T}: Add {U}. {1}{U}, {T}, Sacrifice this land: Draw a card.
The Tabernacle at Pendrell Vale | [] | All creatures have "At the beginning of your upkeep, destroy this creature unless you pay {1}."
The World Tree | [] | This land enters tapped. {T}: Add {G}. As long as you control six or more lands, lands you control have "{T}: Add one mana of any color." {W}{W}{U}{U}{B}{B}{R}{R}{G}{G}, {T}, Sacrifice this land: Search your library for any number of God cards, put them onto the battlefield, then shuffle.
Thornglint Bridge | [] | This land enters tapped. Indestructible {T}: Add {G} or {W}.
Thornspire Verge | [] | {T}: Add {R}. {T}: Add {G}. Activate only if you control a Mountain or a Forest.
Thornwood Falls | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {G} or {U}.
Thran Portal | ['Gate'] | This land enters tapped unless you control two or fewer other lands. As this land enters, choose a basic land type. This land is the chosen type in addition to its other types. Mana abilities of this land cost an additional 1 life to activate.
Thran Quarry | [] | At the beginning of the end step, if you control no creatures, sacrifice this land. {T}: Add one mana of any color.
Three Tree City | [] | As Three Tree City enters, choose a creature type. {T}: Add {C}. {2}, {T}: Choose a color. Add an amount of mana of that color equal to the number of creatures you control of the chosen type.
Thriving Bluff | [] | This land enters tapped. As it enters, choose a color other than red. {T}: Add {R} or one mana of the chosen color.
Thriving Grove | [] | This land enters tapped. As it enters, choose a color other than green. {T}: Add {G} or one mana of the chosen color.
Thriving Heath | [] | This land enters tapped. As it enters, choose a color other than white. {T}: Add {W} or one mana of the chosen color.
Thriving Isle | [] | This land enters tapped. As it enters, choose a color other than blue. {T}: Add {U} or one mana of the chosen color.
Thriving Moor | [] | This land enters tapped. As it enters, choose a color other than black. {T}: Add {B} or one mana of the chosen color.
Throne of Makindi | [] | {T}: Add {C}. {1}, {T}: Put a charge counter on this land. {T}, Remove a charge counter from this land: Add two mana of any one color. Spend this mana only to cast kicked spells.
Throne of the High City | [] | {T}: Add {C}. {4}, {T}, Sacrifice this land: You become the monarch.
Thundering Falls | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Timber Gorge | [] | This land enters tapped. {T}: Add {R} or {G}.
Timberland Ruins | [] | This land enters tapped. {T}: Add {G}. {T}, Sacrifice this land: Add one mana of any color.
Timberline Ridge | [] | This land doesn't untap during your untap step if it has a depletion counter on it. At the beginning of your upkeep, remove a depletion counter from this land. {T}: Add {R} or {G}. Put a depletion counter on this land.
Tinder Farm | [] | This land enters tapped. {T}: Add {G}. {T}, Sacrifice this land: Add {R}{W}.
Tocasia's Dig Site | [] | {T}: Add {C}. {3}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Tolaria | [] | {T}: Add {U}. {T}: Target creature loses banding and all "bands with other" abilities until end of turn. Activate only during any upkeep step.
Tolarian Academy | [] | {T}: Add {U} for each artifact you control.
Tolaria West | [] | This land enters tapped. {T}: Add {U}. Transmute {1}{U}{U} ({1}{U}{U}, Discard this card: Search your library for a card with mana value 0, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)
Tomb Fortress | [] | This land enters tapped. {T}: Add {B}. {2}{B}{B}{B}, {T}, Exile this land: Mill four cards, then return a creature card from your graveyard to the battlefield. Activate only as a sorcery.
Tomb of the Spirit Dragon | [] | {T}: Add {C}. {2}, {T}: You gain 1 life for each colorless creature you control.
Tomb of Urami | [] | {T}: Add {B}. Tomb of Urami deals 1 damage to you if you don't control an Ogre. {2}{B}{B}, {T}, Sacrifice all lands you control: Create Urami, a legendary 5/5 black Demon Spirit creature token with flying.
Tournament Grounds | [] | {T}: Add {C}. {T}: Add {R}, {W}, or {B}. Spend this mana only to cast a Knight or Equipment spell.
Tower of the Magistrate | [] | {T}: Add {C}. {1}, {T}: Target creature gains protection from artifacts until end of turn.
Training Center | [] | This land enters tapped unless you have two or more opponents. {T}: Add {U} or {R}.
Tramway Station | [] | This land enters tapped. {T}: Add {B} or {R}. {2}{B}{R}, {T}, Sacrifice this land: Draw a card.
Tranquil Cove | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {W} or {U}.
Tranquil Expanse | [] | This land enters tapped. {T}: Add {G} or {W}.
Tranquil Garden | [] | {T}: Add {C}. {T}: Add {G} or {W}. This land doesn't untap during your next untap step.
Tranquil Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuffle. Cycling {G}{W}{U} ({G}{W}{U}, Discard this card: Draw a card.)
Tranquil Thicket | [] | This land enters tapped. {T}: Add {G}. Cycling {G} ({G}, Discard this card: Draw a card.)
Transguild Promenade | [] | This land enters tapped. When this land enters, sacrifice it unless you pay {1}. {T}: Add one mana of any color.
Treasure Vault | [] | {T}: Add {C}. {X}{X}, {T}, Sacrifice this land: Create X Treasure tokens.
Tree of Tales | [] | {T}: Add {G}.
Treetop Village | [] | This land enters tapped. {T}: Add {G}. {1}{G}: This land becomes a 3/3 green Ape creature with trample until end of turn. It's still a land. (It can deal excess combat damage to the player or planeswalker it's attacking.)
Trenchpost | ['Locus'] | {T}: Add {C}. {3}, {T}: Target player mills a card for each Locus you control.
Treno, Dark City | ['Town'] | This land enters tapped. {T}: Add {U} or {B}.
Trenzalore Clocktower | [] | {T}: Add {U}. Put a time counter on Trenzalore Clocktower. {1}{U}, {T}, Remove twelve time counters from Trenzalore Clocktower and exile it: Shuffle your graveyard and hand into your library, then draw seven cards. Activate only if you control a Time Lord.
Tresserhorn Sinks | [] | This land enters tapped. {T}: Add {B} or {R}.
Treva's Ruins | ['Lair'] | When this land enters, sacrifice it unless you return a non-Lair land you control to its owner's hand. {T}: Add {G}, {W}, or {U}.
Tropical Island | ['Forest', 'Island'] | ({T}: Add {G} or {U}.)
Tundra | ['Plains', 'Island'] | ({T}: Add {W} or {U}.)
Turntimber Grove | [] | This land enters tapped. When this land enters, target creature gets +1/+1 until end of turn. {T}: Add {G}.
Twilight Mire | [] | {T}: Add {C}. {B/G}, {T}: Add {B}{B}, {B}{G}, or {G}{G}.
Twisted Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Swamp, Mountain, or Forest card, put it onto the battlefield tapped, then shuffle. Cycling {B}{R}{G} ({B}{R}{G}, Discard this card: Draw a card.)
Tyrite Sanctum | [] | {T}: Add {C}. {2}, {T}: Target legendary creature becomes a God in addition to its other types. Put a +1/+1 counter on it. {4}, {T}, Sacrifice this land: Put an indestructible counter on target God.
Ugin's Labyrinth | [] | Imprint — When this land enters, you may exile a colorless card with mana value 7 or greater from your hand. {T}: Add {C}. If a card is exiled with this land, add {C}{C} instead. {T}: Return the exiled card to its owner's hand.
Uncharted Haven | [] | This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color.
Unclaimed Territory | [] | As this land enters, choose a creature type. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type.
Undercity Sewers | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Underdark Rift | [] | {T}: Add {C}. {5}, {T}, Exile this land: Roll a d10. Put target artifact, creature, or planeswalker into its owner's library just beneath the top X cards of that library, where X is the result. Activate only as a sorcery.
Underdome | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to pay Un-costs.
Underground Mortuary | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Underground River | [] | {T}: Add {C}. {T}: Add {U} or {B}. This land deals 1 damage to you.
Underground Sea | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.)
Undergrowth Stadium | [] | This land enters tapped unless you have two or more opponents. {T}: Add {B} or {G}.
Undiscovered Paradise | [] | {T}: Add one mana of any color. During your next untap step, as you untap your permanents, return this land to its owner's hand.
Unholy Citadel | [] | Black legendary creatures you control have "bands with other legendary creatures." (Any legendary creatures can attack in a band as long as at least one has "bands with other legendary creatures." Bands are blocked as a group. If at least two legendary creatures you control, one of which has "bands with other legendary creatures," are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Unholy Grotto | [] | {T}: Add {C}. {B}, {T}: Put target Zombie card from your graveyard on top of your library.
Unknown Shores | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color.
Unstable Frontier | [] | {T}: Add {C}. {T}: Target land you control becomes the basic land type of your choice until end of turn.
Untaidake, the Cloud Keeper | [] | Untaidake enters tapped. {T}, Pay 2 life: Add {C}{C}. Spend this mana only to cast legendary spells.
Urborg | [] | {T}: Add {B}. {T}: Target creature loses first strike or swampwalk until end of turn.
Urborg, Tomb of Yawgmoth | [] | Each land is a Swamp in addition to its other land types.
Urborg Volcano | [] | This land enters tapped. {T}: Add {B} or {R}.
Urza's Cave | ["Urza's", 'Cave'] | {T}: Add {C}. {3}, {T}, Sacrifice this land: Search your library for a land card, put it onto the battlefield tapped, then shuffle.
Urza's Factory | ["Urza's"] | {T}: Add {C}. {7}, {T}: Create a 2/2 colorless Assembly-Worker artifact creature token.
Urza's Fun House | ["Urza's"] | {T}: Add {C}. {T}: Add {∞}. Activate only once and only if you control an Urza's Mine, an Urza's Power-Plant, and an Urza's Tower. {7}, {T}: Head to AskUrza.com and click Urza's Fun House.
Urza's Mine | ["Urza's", 'Mine'] | {T}: Add {C}. If you control an Urza's Power-Plant and an Urza's Tower, add {C}{C} instead.
Urza's Power Plant | ["Urza's", 'Power-Plant'] | {T}: Add {C}. If you control an Urza's Mine and an Urza's Tower, add {C}{C} instead.
Urza's Saga | ["Urza's", 'Saga'] | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — This Saga gains "{T}: Add {C}." II — This Saga gains "{2}, {T}: Create a 0/0 colorless Construct artifact creature token with 'This token gets +1/+1 for each artifact you control.'" III — Search your library for an artifact card with mana cost {0} or {1}, put it onto the battlefield, then shuffle.
Urza's Tower | ["Urza's", 'Tower'] | {T}: Add {C}. If you control an Urza's Mine and an Urza's Power-Plant, add {C}{C}{C} instead.
Urza's Workshop | ["Urza's"] | {T}: Add {C}. Metalcraft — {T}: Add {C} for each Urza's land you control. Activate only if you control three or more artifacts.
Valakut, the Molten Pinnacle | [] | This land enters tapped. Whenever a Mountain you control enters, if you control at least five other Mountains, you may have this land deal 3 damage to any target. {T}: Add {R}.
Valgavoth's Lair | [] | Hexproof This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color.
Vault of Champions | [] | This land enters tapped unless you have two or more opponents. {T}: Add {W} or {B}.
Vault of the Archangel | [] | {T}: Add {C}. {2}{W}{B}, {T}: Creatures you control gain deathtouch and lifelink until end of turn.
Vault of Whispers | [] | {T}: Add {B}.
Vector, Imperial Capital | ['Town'] | This land enters tapped. {T}: Add {B} or {R}.
Vec Townships | [] | {T}: Add {C}. {T}: Add {G} or {W}. This land doesn't untap during your next untap step.
Veldt | [] | This land doesn't untap during your untap step if it has a depletion counter on it. At the beginning of your upkeep, remove a depletion counter from this land. {T}: Add {G} or {W}. Put a depletion counter on this land.
Verdant Catacombs | [] | {T}, Pay 1 life, Sacrifice this land: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle.
Vesuva | [] | You may have this land enter tapped as a copy of any land on the battlefield.
Vineglimmer Snarl | [] | As this land enters, you may reveal a Forest or Island card from your hand. If you don't, this land enters tapped. {T}: Add {G} or {U}.
Viridescent Bog | [] | {1}, {T}: Add {B}{G}.
Vitu-Ghazi, the City-Tree | [] | {T}: Add {C}. {2}{G}{W}, {T}: Create a 1/1 green Saproling creature token.
Vivid Crag | [] | This land enters tapped with two charge counters on it. {T}: Add {R}. {T}, Remove a charge counter from this land: Add one mana of any color.
Vivid Creek | [] | This land enters tapped with two charge counters on it. {T}: Add {U}. {T}, Remove a charge counter from this land: Add one mana of any color.
Vivid Grove | [] | This land enters tapped with two charge counters on it. {T}: Add {G}. {T}, Remove a charge counter from this land: Add one mana of any color.
Vivid Marsh | [] | This land enters tapped with two charge counters on it. {T}: Add {B}. {T}, Remove a charge counter from this land: Add one mana of any color.
Vivid Meadow | [] | This land enters tapped with two charge counters on it. {T}: Add {W}. {T}, Remove a charge counter from this land: Add one mana of any color.
Volatile Fault | ['Cave'] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. That player may search their library for a basic land card, put it onto the battlefield, then shuffle. You create a Treasure token.
Volatile Fjord | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.) This land enters tapped.
Volcanic Island | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.)
Voldaren Estate | [] | {T}: Add {C}. {T}, Pay 1 life: Add one mana of any color. Spend this mana only to cast a Vampire spell. {5}, {T}: Create a Blood token. This ability costs {1} less to activate for each Vampire you control. (It's an artifact with "{1}, {T}, Discard a card, Sacrifice this token: Draw a card.")
Volrath's Stronghold | [] | {T}: Add {C}. {1}{B}, {T}: Put target creature card from your graveyard on top of your library.
Wandering Fumarole | [] | This land enters tapped. {T}: Add {U} or {R}. {2}{U}{R}: Until end of turn, this land becomes a 1/4 blue and red Elemental creature with "{0}: Switch this creature's power and toughness until end of turn." It's still a land.
Wanderwine Hub | [] | As this land enters, you may reveal a Merfolk card from your hand. If you don't, this land enters tapped. {T}: Add {W} or {U}.
Warped Landscape | [] | {T}: Add {C}. {2}, {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
War Room | [] | {T}: Add {C}. {3}, {T}, Pay life equal to the number of colors in your commanders' color identity: Draw a card.
Wasteland | [] | {T}: Add {C}. {T}, Sacrifice this land: Destroy target nonbasic land.
Wastes | [] | {T}: Add {C}.
Wastewood Verge | [] | {T}: Add {G}. {T}: Add {B}. Activate only if you control a Swamp or a Forest.
Waterfront District | [] | This land enters tapped. {T}: Add {U} or {B}. {2}{U}{B}, {T}, Sacrifice this land: Draw a card.
Waterlogged Grove | [] | {T}, Pay 1 life: Add {G} or {U}. {1}, {T}, Sacrifice this land: Draw a card.
Watermarket | [] | {T}: Add {C}{C}. Spend this mana only to cast spells with watermarks.
Waterveil Cavern | [] | {T}: Add {C}. {T}: Add {U} or {B}. This land doesn't untap during your next untap step.
Watery Grave | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Westvale Abbey // Ormendahl, Profane Prince | {'Demon'} | {T}: Add {C}. {5}, {T}, Pay 1 life: Create a 1/1 white and black Human Cleric creature token. {5}, {T}, Sacrifice five creatures: Transform this land, then untap it. // Flying, lifelink, indestructible, haste
Wild Roads | [] | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {G}. {1}{G}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles Mounts and crews Vehicles as though its power were 2 greater." Activate only as a sorcery.
Willowrush Verge | [] | {T}: Add {U}. {T}: Add {G}. Activate only if you control a Forest or an Island.
Windbrisk Heights | [] | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) This land enters tapped. {T}: Add {W}. {W}, {T}: You may play the exiled card without paying its mana cost if you attacked with three or more creatures this turn.
Winding Canyons | [] | {T}: Add {C}. {2}, {T}: You may cast creature spells this turn as though they had flash.
Wind-Scarred Crag | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {R} or {W}.
Windswept Heath | [] | {T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle.
Windurst, Federation Center | ['Town'] | This land enters tapped. {T}: Add {G} or {W}.
Wintermoon Mesa | [] | This land enters tapped. {T}: Add {C}. {2}, {T}, Sacrifice this land: Tap two target lands.
Wirewood Lodge | [] | {T}: Add {C}. {G}, {T}: Untap target Elf.
Witch's Clinic | [] | {T}: Add {C}. {2}, {T}: Target commander gains lifelink until end of turn.
Witch's Cottage | ['Swamp'] | ({T}: Add {B}.) This land enters tapped unless you control three or more other Swamps. When this land enters untapped, you may put target creature card from your graveyard on top of your library.
Witherbloom Campus | [] | This land enters tapped. {T}: Add {B} or {G}. {4}, {T}: Scry 1.
Wizards' School | [] | {T}: Add {C}. {1}, {T}: Add {U}. {2}, {T}: Add {W} or {B}.
Wooded Bastion | [] | {T}: Add {C}. {G/W}, {T}: Add {G}{G}, {G}{W}, or {W}{W}.
Wooded Foothills | [] | {T}, Pay 1 life, Sacrifice this land: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle.
Wooded Ridgeline | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped.
Woodland Cemetery | [] | This land enters tapped unless you control a Swamp or a Forest. {T}: Add {B} or {G}.
Woodland Chasm | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.) This land enters tapped.
Woodland Stream | [] | This land enters tapped. {T}: Add {G} or {U}.
Xander's Lounge | ['Island', 'Swamp', 'Mountain'] | ({T}: Add {U}, {B}, or {R}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Yavimaya Coast | [] | {T}: Add {C}. {T}: Add {G} or {U}. This land deals 1 damage to you.
Yavimaya, Cradle of Growth | [] | Each land is a Forest in addition to its other land types.
Yavimaya Hollow | [] | {T}: Add {C}. {G}, {T}: Regenerate target creature.
Zagoth Triome | ['Swamp', 'Forest', 'Island'] | ({T}: Add {B}, {G}, or {U}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Zanarkand, Ancient Metropolis // Lasting Fayth | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {G}. // Create a 1/1 colorless Hero creature token. Put a +1/+1 counter on it for each land you control. (Then exile this card. You may play the land later from exile.)
Zhalfirin Void | [] | When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {C}.
Ziatora's Proving Ground | ['Swamp', 'Mountain', 'Forest'] | ({T}: Add {B}, {R}, or {G}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Zoetic Cavern | [] | {T}: Add {C}. Morph {2} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
